Time(s),Cart Position(m),Cart Velocity(m/s),Hook Angle(deg),Hook Angle Rate(deg/s),Payload Angle(deg),Payload Angle Rate(deg/s),Force(N),Cart Acceleration(m/s^2),,
0.59,0,0,0.0610524,1.41305,0.0662168,1.92442,0,0,-3.57929,-6.13592
0.601,0,0,0.0673929,1.43815,0.072813,1.91147,0,0,-0.463789,0.463789
0.609,0,0,0.0736311,1.47019,0.0792045,1.90948,0,0,-0.566567,-2.26627
0.62,0,0,0.0796136,1.49749,0.0854939,1.90151,0,0,-4.53254,9.23E-13
0.63,0,0,0.0852893,1.51189,0.0914764,1.87731,0,0,-3.24652,-4.63789
0.64,0,0,0.0906583,1.52287,0.0972032,1.84922,0,0,-3.06796,-2.04531
0.651,0,0,0.0957715,1.52682,0.102879,1.81508,0,0,-1.85515,1.39137
0.659,0,0,0.100731,1.53695,0.108759,1.79659,0,0,-0.566567,5.09911
0.67,0,0,0.105436,1.54248,0.114946,1.77807,0,0,-3.96597,4.53254
0.68,0,0,0.109884,1.53594,0.121184,1.74968,0,0,-2.31894,-1.85515
0.69,0,0,0.113975,1.52531,0.127423,1.72505,0,0,-4.60194,-0.511327
0.701,0,0,0.117861,1.50833,0.133661,1.69778,0,0,-0.463789,6.29E-13
0.725,0,0,0.12144,1.48285,0.140001,1.66223,0,0,-1.33571,0.667856
0.729,0,0,0.124866,1.45762,0.146393,1.6351,0,0,7.08E-14,-4.25E-13
0.747,0,0,0.127985,1.43118,0.152733,1.61573,0,0,-3.80326,-1.26775
0.756,0,0,0.130797,1.39563,0.159074,1.59013,0,0,-1.68338,0.280563
0.763,0,0,0.13315,1.39122,0.165261,1.62039,0,0,-9.58738,-4.79369
0.771,0,0,0.13499,1.37628,0.171295,1.64772,0,0,-9.99928,-2.72708
0.781,0,0,0.136524,1.31641,0.177073,1.62905,0,0,-1.41544,-4.95403
0.79,0,0,0.1377,1.27322,0.182084,1.62079,0,0,-4.53254,-14.1642
0.809,0,0,0.138467,1.21707,0.186685,1.58352,0,0,-2.1888,-0.243199
0.818,0,0,0.138928,1.16348,0.191185,1.55259,0,0,-1.04352,1.04352
0.829,0,0,0.139081,1.10821,0.195225,1.53275,0,0,-3.06796,-8.18123
0.839,0,0,0.138928,1.04442,0.19819,1.49689,0,0,-2.78273,-15.305
0.851,0,0,0.138467,0.982256,0.200491,1.45148,0,0,-2.53551,-2.11292
0.86,0,0,0.1377,0.918876,0.202537,1.40474,0,0,-2.78273,1.39137
0.87,0,0,0.136627,0.854154,0.204071,1.36176,0,0,-3.3994,-8.49851
