Time(s),Cart Position(m),Cart Velocity(m/s),Hook Angle(deg),Hook Angle Rate(deg/s),Payload Angle(deg),Payload Angle Rate(deg/s),Force(N),Cart Acceleration(m/s^2),,
3.02,0,0,-0.110089,-0.868183,-0.192873,-1.73955,0,0,-0.486399,4.86399
3.04,0,0,-0.111827,-0.838951,-0.195225,-1.69784,0,0,1.9635,-3.55E-13
3.048,0,0,-0.113515,-0.807176,-0.197372,-1.65152,0,0,-0.260881,0.521762
3.06,0,0,-0.1151,-0.779905,-0.19906,-1.60772,0,0,1.53398,7.15858
3.071,0,0,-0.11648,-0.751721,-0.199929,-1.55728,0,0,2.31982,8.89264
3.079,0,0,-0.117759,-0.718619,-0.200287,-1.48995,0,0,6.15E-13,2.26627
3.09,0,0,-0.119037,-0.693292,-0.200184,-1.42809,0,0,-1.13313,4.53254
3.1,0,0,-0.12006,-0.66566,-0.199469,-1.35715,0,0,4.63789,6.95683
3.109,0,0,-0.120724,-0.635568,-0.197884,-1.27483,0,0,5.09911,12.4645
3.121,0,0,-0.121184,-0.604645,-0.19548,-1.18677,0,0,0.463789,6.95683
3.129,0,0,-0.121491,-0.569306,-0.192924,-1.08223,0,0,1.02265,-5.11327
3.14,0,0,-0.121594,-0.539729,-0.190111,-0.987982,0,0,2.83284,3.96597
3.15,0,0,-0.121338,-0.506639,-0.186634,-0.887608,0,0,4.63789,9.73956
3.16,0,0,-0.120724,-0.4695,-0.182544,-0.776439,0,0,3.96597,6.23224
3.171,0,0,-0.119906,-0.432896,-0.1783,-0.669142,0,0,0.463789,-2.78273
3.179,0,0,-0.118832,-0.391696,-0.174005,-0.549179,0,0,3.06796,-0.511327
3.19,0,0,-0.117401,-0.352187,-0.169403,-0.438618,0,0,5.09911,6.23224
3.2,0,0,-0.115611,-0.309661,-0.16434,-0.325785,0,0,3.24652,5.56546
3.21,0,0,-0.113566,-0.265261,-0.159125,-0.211844,0,0,1.53398,-1.53398
3.221,0,0,-0.111367,-0.222894,-0.153807,-0.108443,0,0,0.463789,0.463789
3.229,0,0,-0.108862,-0.173979,-0.148285,0.00716401,0,0,5.09911,3.3994
3.24,0,0,-0.105998,-0.126772,-0.142507,0.113475,0,0,4.53254,3.3994
3.25,0,0,-0.102879,-0.0785694,-0.136473,0.213622,0,0,1.39137,2.31894
3.26,0,0,-0.0996576,-0.0290559,-0.130337,0.310263,0,0,-0.511327,-0.511327
3.271,0,0,-0.0961295,0.017694,-0.124099,0.399461,0,0,4.63789,0.927577
3.279,0,0,-0.0923456,0.0724,-0.117759,0.498078,0,0,2.26627,1.13313
3.29,0,0,-0.0883062,0.125647,-0.111316,0.586879,0,0,2.83284,1.13313
3.3,0,0,-0.0839599,0.178152,-0.104669,0.669657,0,0,3.24652,2.78273
3.31,0,0,-0.0795625,0.232267,-0.0980725,0.754367,0,0,-2.04531,-3.06796
3.321,0,0,-0.0749094,0.277224,-0.0914253,0.822219,0,0,4.1741,1.39137
3.329,0,0,-0.0700007,0.330591,-0.0850848,0.89546,0,0,2.83284,-7.36537
3.34,0,0,-0.0648874,0.387174,-0.0787955,0.965951,0,0,1.6997,2.26627
3.35,0,0,-0.0595185,0.43928,-0.0725062,1.02869,0,0,2.78273,0.463789
3.36,0,0,-0.053945,0.498935,-0.0664725,1.09508,0,0,1.53398,-5.11327
3.371,0,0,-0.0482181,0.554673,-0.0607968,1.14886,0,0,0.927577,-4.1741
3.379,0,0,-0.0422867,0.617468,-0.0550699,1.20178,0,0,2.83284,5.09911
3.391,0,0,-0.0360997,0.679549,-0.0492408,1.24992,0,0,3.06796,1.53398
3.4,0,0,-0.0299126,0.737986,-0.0434628,1.29164,0,0,-2.31894,-1.85515
3.41,0,0,-0.0237256,0.798897,-0.0378382,1.3295,0,0,1.54E-13,-2.83284
3.421,0,0,-0.0174362,0.852221,-0.0325204,1.35458,0,0,1.85515,-4.1741
3.43,0,0,-0.0111469,0.910297,-0.0269469,1.37988,0,0,-1.13313,9.06508
3.441,0,0,-0.00490874,0.963798,-0.0211689,1.40373,0,0,-1.02265,1.53398
3.45,0,0,0.00127832,1.01177,-0.0154421,1.42378,0,0,-0.463789,-2.78273
3.46,0,0,0.00741424,1.06092,-0.00991974,1.43795,0,0,-0.566567,-3.96597
3.47,0,0,0.013499,1.1053,-0.00419288,1.45048,0,0,-0.511327,6.13592
3.479,0,0,0.0194816,1.14961,0.00199417,1.46762,0,0,-1.6997,7.93194
3.491,0,0,0.0253107,1.18445,0.0082835,1.47856,0,0,-1.85515,-2.31894
3.5,0,0,0.0309864,1.2161,0.0144194,1.4887,0,0,-1.39137,-3.71031
3.51,0,0,0.0365087,1.24803,0.0205553,1.49854,0,0,-1.6997,1.6997
3.52,0,0,0.0419288,1.27591,0.0268958,1.50857,0,0,-0.511327,4.09062
3.53,0,0,0.0471443,1.29871,0.0333896,1.51461,0,0,-3.06796,1.02265
3.541,0,0,0.0521042,1.31416,0.0398324,1.51601,0,0,-2.78273,-2.31894
3.55,0,0,0.057013,1.3303,0.0461217,1.52136,0,0,1.53398,-2.55663
3.575,0,0,0.0617172,1.32678,0.0523087,1.50052,0,0,-1.23851,-0.17693
3.579,0,0,0.0661146,1.32534,0.0587003,1.48732,0,0,-1.9456,2.43199
3.591,0,0,0.0704097,1.33703,0.0651942,1.49953,0,0,1.5979,1.08E-13
3.599,0,0,0.0745003,1.33665,0.0717392,1.49773,0,0,-3.06796,-3.47E-13
3.62,0,0,0.078233,1.32476,0.0781819,1.48279,0,0,-2.43199,-1.216
3.628,0,0,0.0819146,1.30864,0.0849314,1.46527,0,0,1.216,3.40479
3.641,0,0,0.0853916,1.3006,0.0917832,1.4673,0,0,-3.24652,-0.927577
3.65,0,0,0.088613,1.28286,0.0985327,1.46212,0,0,-2.53551,-2.53551
3.66,0,0,0.0915275,1.26447,0.105129,1.46553,0,0,-3.96597,-2.26627
3.669,0,0,0.0942887,1.24657,0.111725,1.47328,0,0,-1.54E-13,1.6997
3.679,0,0,0.0969476,1.22379,0.118372,1.48028,0,0,-0.566567,1.13313
3.691,0,0,0.0993508,1.19733,0.124866,1.48424,0,0,-3.38067,-2.95809
3.7,0,0,0.101447,1.16296,0.131104,1.48489,0,0,-3.24652,-3.24652
3.71,0,0,0.10339,1.12895,0.137189,1.49004,0,0,-7.69E-13,-0.566567
3.719,0,0,0.105282,1.09595,0.143069,1.49588,0,0,0.566567,-2.83284
3.729,0,0,0.106918,1.05684,0.148694,1.49597,0,0,-5.09911,-3.3994
3.741,0,0,0.108248,1.01786,0.154012,1.49387,0,0,-2.95809,-2.95809
3.75,0,0,0.109424,0.971846,0.159023,1.48667,0,0,0,-2.78273
3.76,0,0,0.1106,0.929738,0.163727,1.48058,0,0,1.6997,-3.3994
3.769,0,0,0.111623,0.890062,0.168022,1.47321,0,0,-3.3994,-5.66567
3.779,0,0,0.112441,0.843773,0.171908,1.45895,0,0,-2.83284,-4.53254
3.791,0,0,0.113106,0.798172,0.175334,1.43898,0,0,-0.845168,-4.22584
3.8,0,0,0.113719,0.750213,0.178044,1.40901,0,0,0.463789,-8.81198
3.81,0,0,0.114282,0.708649,0.180192,1.37825,0,0,-0.566567,-4.53254
3.819,0,0,0.114639,0.667128,0.181879,1.34433,0,0,-3.96597,-3.96597
3.829,0,0,0.114742,0.619853,0.183106,1.30235,0,0,-3.3994,-5.09911
3.841,0,0,0.114742,0.574523,0.183669,1.25577,0,0,0.422584,-7.18393
3.85,0,0,0.114691,0.530143,0.183413,1.20134,0,0,-3.78E-13,-8.81198
3.86,0,0,0.114537,0.489215,0.182748,1.14397,0,0,-1.6997,6.15E-13
3.869,0,0,0.114077,0.445425,0.181777,1.08297,0,0,-5.66567,-2.26627
3.879,0,0,0.113515,0.416901,0.180345,1.04111,0,0,1.13313,-6.79881
3.891,0,0,0.113003,0.386975,0.178197,0.990164,0,0,1.69034,-8.0291
3.9,0,0,0.112236,0.337252,0.17559,0.902147,0,0,-5.10167,-1.85515
3.91,0,0,0.111316,0.294669,0.172726,0.822578,0,0,-0.566567,-0.566567
3.919,0,0,0.110344,0.264017,0.169454,0.757538,0,0,0.566567,-6.23224
3.929,0,0,0.109219,0.233733,0.165414,0.68611,0,0,-2.83284,-12.4645
3.941,0,0,0.10789,0.195886,0.160966,0.597944,0,0,-2.11292,-0.422584
3.95,0,0,0.106305,0.158923,0.156313,0.509418,0,0,-2.78273,2.52E-13
3.96,0,0,0.104669,0.118107,0.151404,0.408677,0,0,1.6997,-3.3994
3.969,0,0,0.102828,0.0783668,0.146188,0.305963,0,0,-3.96597,-3.96597
3.979,0,0,0.100731,0.0371018,0.140615,0.199661,0,0,-3.3994,-4.53254
3.991,0,0,0.0984304,0.00107648,0.134837,0.106228,0,0,-1.26775,-0.422584
4,0,0,0.0960272,-0.0352034,0.128957,0.00948151,0,0,-1.26E-13,-2.52E-13
4.01,0,0,0.0934706,-0.0743154,0.122974,-0.0962824,0,0,-2.26627,-1.13313
4.019,0,0,0.0906071,-0.115132,0.116889,-0.201508,0,0,-5.09911,-1.13313
4.029,0,0,0.0875392,-0.157025,0.110651,-0.305747,0,0,-1.13313,-2.26627
4.041,0,0,0.0842667,-0.19212,0.104413,-0.394067,0,0,-1.69034,1.26775
4.05,0,0,0.0808408,-0.228481,0.0981748,-0.483833,0,0,-0.927577,-7.55E-13
4.06,0,0,0.0772104,-0.269926,0.0917832,-0.581165,0,0,-2.83284,-3.3994
4.069,0,0,0.0733243,-0.312985,0.0852893,-0.676613,0,0,-3.3994,-0.566567
4.079,0,0,0.0691825,-0.356493,0.0788977,-0.768024,0,0,-2.83284,3.3994
4.091,0,0,0.0649385,-0.393912,0.0726084,-0.842553,0,0,0.422584,0.845168
4.1,0,0,0.0604388,-0.433763,0.0664214,-0.91487,0,0,-3.71031,0.927577
4.11,0,0,0.0556324,-0.480321,0.0600298,-0.989595,0,0,-3.96597,-5.66567
4.119,0,0,0.0506725,-0.527596,0.0531269,-1.06414,0,0,-1.54E-13,-9.06508
4.129,0,0,0.0457126,-0.572808,0.0463774,-1.13635,0,0,1.6997,9.06508
4.141,0,0,0.0406505,-0.610771,0.0398324,-1.1919,0,0,-1.69034,2.11292
4.15,0,0,0.0352816,-0.652164,0.0330829,-1.24401,0,0,-4.63789,-5.56546
4.16,0,0,0.0298104,-0.69926,0.0259243,-1.2999,0,0,1.13313,-6.79881
4.169,0,0,0.0243392,-0.744292,0.0187657,-1.35525,0,0,1.13313,4.53254
4.179,0,0,0.0187657,-0.78771,0.0118628,-1.40521,0,0,-2.26627,5.66567
4.191,0,0,0.0129877,-0.826835,0.00506214,-1.44186,0,0,-2.53551,-0.422584
4.2,0,0,0.00710744,-0.868309,-0.00163625,-1.47481,0,0,3.15E-14,0.927577
4.21,0,0,0.00122718,-0.912086,-0.0081301,-1.50728,0,0,1.13313,3.3994
4.219,0,0,-0.00470421,-0.955324,-0.0143172,-1.53455,0,0,-1.13313,4.53254
4.229,0,0,-0.0106867,-0.998293,-0.0201463,-1.55294,0,0,-0.566567,4.53254
4.241,0,0,-0.0166693,-1.03401,-0.0257709,-1.56201,0,0,0.422584,0.422584
4.267,0,0,-0.0224984,-1.04775,-0.0312421,-1.54917,0,0,0.849851,0.283284
4.272,0,0,-0.0284809,-1.0648,-0.0370201,-1.53688,0,0,-1.91548,-3.19247
4.279,0,0,-0.0344634,-1.1328,-0.0429003,-1.57372,0,0,4.26106,2.84071
4.291,0,0,-0.0403437,-1.16688,-0.0487806,-1.5773,0,0,2.26627,1.13313
4.301,0,0,-0.0460194,-1.19315,-0.0546097,-1.57792,0,0,2.53551,0.845168
4.312,0,0,-0.051644,-1.21855,-0.0604388,-1.57744,0,0,-0.927577,-0.463789
4.32,0,0,-0.0572175,-1.24546,-0.0664214,-1.57708,0,0,0.566567,-3.3994
4.33,0,0,-0.0625864,-1.27153,-0.0726084,-1.5807,0,0,4.41887,-3.15634
4.342,0,0,-0.0676486,-1.28377,-0.0787955,-1.57352,0,0,3.38067,1.69034
4.351,0,0,-0.0725062,-1.298,-0.0851871,-1.5761,0,0,0.927577,-3.71031
4.362,0,0,-0.0772615,-1.3106,-0.091732,-1.58096,0,0,0,-1.02265
4.371,0,0,-0.0818634,-1.31789,-0.0981748,-1.57972,0,0,2.04531,3.57929
4.38,0,0,-0.0861586,-1.32496,-0.104566,-1.58203,0,0,5.68141,-8.57E-13
4.392,0,0,-0.0901469,-1.32122,-0.111009,-1.57631,0,0,2.78273,-1.39137
4.401,0,0,-0.0940842,-1.31992,-0.117503,-1.57997,0,0,-1.85515,-0.463789
4.412,0,0,-0.0977657,-1.3163,-0.123843,-1.58414,0,0,4.60194,3.57929
4.421,0,0,-0.101089,-1.30323,-0.129724,-1.57925,0,0,4.60194,7.6699
4.43,0,0,-0.104208,-1.2887,-0.134888,-1.56975,0,0,0.631268,11.9941
4.442,0,0,-0.107174,-1.26862,-0.140001,-1.54872,0,0,0.927577,-5.56546
4.451,0,0,-0.109986,-1.25314,-0.145012,-1.53876,0,0,1.39137,1.39137
4.462,0,0,-0.112441,-1.23274,-0.149256,-1.52392,0,0,5.6246,14.3172
4.471,0,0,-0.114691,-1.20439,-0.152836,-1.49458,0,0,0.566567,6.23224
4.48,0,0,-0.116838,-1.1761,-0.156262,-1.46213,0,0,1.71E-12,-4.41887
4.492,0,0,-0.11873,-1.14252,-0.159585,-1.42594,0,0,3.38067,0.422584
4.501,0,0,-0.120213,-1.11188,-0.162551,-1.39901,0,0,5.10167,5.56546
4.512,0,0,-0.121389,-1.07535,-0.165363,-1.36903,0,0,2.04531,-0.511327
4.521,0,0,-0.122412,-1.03211,-0.168278,-1.33522,0,0,-4.16E-13,-3.57929
4.53,0,0,-0.123128,-0.98774,-0.171243,-1.30769,0,0,5.68141,0
4.542,0,0,-0.123588,-0.939328,-0.174056,-1.27873,0,0,1.85515,3.24652
4.551,0,0,-0.12369,-0.895471,-0.176766,-1.25763,0,0,4.1741,0.463789
4.564,0,0,-0.12369,-0.869403,-0.179476,-1.25392,0,0,-1.26775,-0.845168
4.572,0,0,-0.123332,-0.835867,-0.181368,-1.24129,0,0,5.56546,14.8412
4.58,0,0,-0.122616,-0.745639,-0.182697,-1.17383,0,0,5.59264,4.79369
4.592,0,0,-0.121696,-0.686114,-0.183617,-1.13016,0,0,0.511327,2.55663
4.6,0,0,-0.120571,-0.633618,-0.18418,-1.09105,0,0,2.04531,3.06796
4.612,0,0,-0.11919,-0.578147,-0.184282,-1.04665,0,0,3.06796,5.6246
4.621,0,0,-0.117605,-0.516831,-0.183669,-0.991385,0,0,1.39137,8.81198
4.63,0,0,-0.115867,-0.450547,-0.18239,-0.923871,0,0,1.26254,7.57521
4.641,0,0,-0.114128,-0.396835,-0.180856,-0.863651,0,0,-1.53398,-1.53398
4.651,0,0,-0.112236,-0.343592,-0.178606,-0.797584,0,0,2.78273,10.6671
4.662,0,0,-0.110038,-0.287244,-0.17559,-0.720569,0,0,4.1741,7.42062
4.671,0,0,-0.107737,-0.229209,-0.172113,-0.637563,0,0,-1.02265,1.53398
4.681,0,0,-0.105384,-0.167954,-0.168482,-0.546267,0,0,1.54E-13,-1.6997
4.691,0,0,-0.102879,-0.115361,-0.164392,-0.462568,0,0,2.55663,7.6699
4.701,0,0,-0.100118,-0.0620244,-0.159687,-0.373187,0,0,3.57929,7.6699
4.712,0,0,-0.0973055,-0.00801448,-0.154676,-0.279983,0,0,-1.39137,-2.52E-13
4.721,0,0,-0.0944932,0.0439704,-0.149614,-0.187178,0,0,-0.511327,-2.04531
4.731,0,0,-0.0914764,0.0986914,-0.144245,-0.0914508,0,0,4.53254,6.23224
4.741,0,0,-0.0883062,0.148639,-0.138467,-0.00454549,0,0,1.02265,5.11327
4.75,0,0,-0.0849825,0.200088,-0.132434,0.0882153,0,0,1.6997,1.13313
4.762,0,0,-0.0816589,0.2481,-0.126451,0.174017,0,0,-1.39137,-3.24652
4.771,0,0,-0.0781819,0.295033,-0.120213,0.255017,0,0,2.78273,5.10167
4.781,0,0,-0.0743981,0.347302,-0.113719,0.342591,0,0,5.09911,2.83284
4.79,0,0,-0.0706142,0.395984,-0.107174,0.425529,0,0,-3.3994,-1.6997
4.81,0,0,-0.0668816,0.430216,-0.100578,0.48789,0,0,-0.486399,0.243199
4.819,0,0,-0.0627909,0.462985,-0.0933683,0.551324,0,0,3.64799,5.59359
4.831,0,0,-0.0585981,0.505027,-0.0860563,0.633696,0,0,-1.39137,-3.71031
4.841,0,0,-0.0545074,0.543962,-0.0787443,0.716705,0,0,-2.53551,-0.845168
4.85,0,0,-0.0503146,0.58418,-0.0713301,0.804271,0,0,3.3994,2.26627
4.862,0,0,-0.0460194,0.619649,-0.0637625,0.885597,0,0,0.927577,1.85515
4.871,0,0,-0.041622,0.654154,-0.0560926,0.966763,0,0,0.927577,0.463789
4.881,0,0,-0.0371735,0.69131,-0.0486272,1.05076,0,0,-1.54E-13,-5.66567
4.891,0,0,-0.0326738,0.72201,-0.0410596,1.12763,0,0,0.511327,4.09062
4.9,0,0,-0.0280207,0.754794,-0.0332362,1.20363,0,0,2.83284,4.53254
4.912,0,0,-0.0234699,0.782446,-0.0254641,1.27108,0,0,-3.24652,-3.24652
4.921,0,0,-0.018868,0.807651,-0.0179476,1.33326,0,0,1.85515,-4.1741
4.931,0,0,-0.0141638,0.83631,-0.0106867,1.39407,0,0,1.6997,-2.83284
4.94,0,0,-0.00930615,0.862654,-0.00352816,1.44607,0,0,2.26627,0.566567
4.95,0,0,-0.00434628,0.891329,0.00368155,1.49592,0,0,0.566567,2.26627
4.962,0,0,0.000613592,0.91453,0.0105845,1.53323,0,0,-0.845168,-5.4936
4.971,0,0,0.00557346,0.937175,0.0170783,1.56294,0,0,0,-4.63789
4.981,0,0,0.0106356,0.961875,0.0233676,1.58939,0,0,2.26627,4.81E-15
4.99,0,0,0.0156977,0.985827,0.029657,1.61208,0,0,-1.13313,2.26627
5,0,0,0.0207599,1.00978,0.0356906,1.6331,0,0,8.65E-14,-5.66567
