0,0,0,0,0,0,0.00042024
9.162e-08,2.5318e-05,-2.6003e-07,-7.1681e-05,-2.025e-09,-7.6259e-07,0.0046318
6.485e-07,9.2839e-05,-1.8275e-06,-0.00026027,-2.9383e-08,-5.7748e-06,0.0088415
2.0935e-06,0.00020254,-5.8536e-06,-0.00056152,-1.4774e-07,-1.9778e-05,0.013048
4.8491e-06,0.00035436,-1.3443e-05,-0.00097043,-4.7415e-07,-4.8261e-05,0.017249
9.3373e-06,0.00054827,-2.5647e-05,-0.0014813,-1.1838e-06,-9.73e-05,0.021443
1.5979e-05,0.00078417,-4.3457e-05,-0.002088,-2.5149e-06,-0.00017339,0.025629
2.5196e-05,0.001062,-6.78e-05,-0.0027839,-4.7724e-06,-0.00028329,0.029804
3.7406e-05,0.0013816,-9.9534e-05,-0.0035619,-8.3294e-06,-0.00043386,0.033968
5.3029e-05,0.0017428,-0.00013945,-0.004415,-1.3628e-05,-0.00063188,0.038119
7.248e-05,0.0021456,-0.00018826,-0.0053359,-2.1176e-05,-0.00088396,0.042254
9.6176e-05,0.0025897,-0.00024661,-0.0063175,-3.1548e-05,-0.0011964,0.046372
0.00012453,0.0030751,-0.00031507,-0.0073525,-4.5378e-05,-0.0015749,0.050471
0.00015795,0.0036014,-0.00039415,-0.0084342,-6.3355e-05,-0.0020247,0.05455
0.00019686,0.0041685,-0.00048427,-0.0095557,-8.6217e-05,-0.0025504,0.058607
0.00024165,0.0047761,-0.00058581,-0.010711,-0.00011474,-0.0031558,0.062641
0.00029273,0.005424,-0.00069906,-0.011894,-0.00014975,-0.0038438,0.066648
0.0003505,0.006112,-0.00082429,-0.013099,-0.00019208,-0.0046167,0.070629
0.00041538,0.0068397,-0.00096169,-0.014321,-0.00024258,-0.0054756,0.07458
0.00048774,0.0076068,-0.0011114,-0.015555,-0.00030213,-0.006421,0.078501
0.00056799,0.0084131,-0.0012735,-0.016798,-0.00037158,-0.0074522,0.082389
